"dteday","mnth","holiday","weekday","workingday","weathersit","temp","hum","windspeed","cnt"
"1/1/2011",1,0,6,0,"cloudy",14.110847,80.5833,10.749882,985
"1/2/2011",1,0,0,0,"cloudy",14.902598,69.6087,16.652113,801
"1/3/2011",1,0,1,1,"clear",8.050924,43.7273,16.636703,1349
"1/4/2011",1,0,2,1,"clear",8.2,59.0435,10.739832,1562
"1/5/2011",1,0,3,1,"clear",9.305237,43.6957,12.5223,1600
"1/6/2011",1,0,4,1,"clear",8.378268,51.8261,6.0008684,1606
"1/7/2011",1,0,5,1,"cloudy",8.057402,49.8696,11.304642,1510
"1/8/2011",1,0,6,0,"cloudy",6.765,53.5833,17.875868,959
"1/9/2011",1,0,0,0,"clear",5.671653,43.4167,24.25065,822
"1/10/2011",1,0,1,1,"clear",6.184153,48.2917,14.958889,1321
"1/11/2011",1,0,2,1,"cloudy",6.932731,68.6364,8.182844,1263
"1/12/2011",1,0,3,1,"clear",7.081807,59.9545,20.410009,1162
"1/13/2011",1,0,4,1,"clear",6.765,47.0417,20.167,1406
"1/14/2011",1,0,5,1,"clear",6.59567,53.7826,8.478716,1421
"1/15/2011",1,0,6,0,"cloudy",9.566653,49.875,10.583521,1248
"1/16/2011",1,0,0,0,"clear",9.498347,48.375,12.625011,1204
"1/17/2011",1,1,1,0,"cloudy",7.209153,53.75,12.999139,1000
"1/18/2011",1,0,2,1,"cloudy",8.883347,86.1667,9.833925,683
"1/19/2011",1,0,3,1,"cloudy",11.979134,74.1739,13.957239,1650
"1/20/2011",1,0,4,1,"cloudy",10.728347,53.8333,13.125568,1927
"1/21/2011",1,0,5,1,"clear",7.2775,45.7083,23.667214,1543
"1/22/2011",1,0,6,0,"clear",2.4243464,40,11.52199,981
"1/23/2011",1,0,0,0,"clear",3.9573897,43.6522,16.5222,986
"1/24/2011",1,0,1,1,"clear",3.9930433,49.1739,10.60811,1416
"1/25/2011",1,0,2,1,"cloudy",9.162598,61.6957,8.696332,1985
"1/26/2011",1,0,3,1,"wet",8.9175,86.25,19.68795,506
"1/27/2011",1,0,4,1,"clear",7.995,68.75,7.627079,431
"1/28/2011",1,0,5,1,"cloudy",8.342598,79.3043,8.2611,1167
"1/29/2011",1,0,6,0,"clear",8.057402,65.1739,9.739455,1098
"1/30/2011",1,0,0,0,"clear",8.877402,72.2174,4.9568342,1096
"1/31/2011",1,0,1,1,"cloudy",7.414153,60.375,12.541864,1501
"2/1/2011",2,0,2,1,"cloudy",7.879134,82.9565,3.565271,1360
"2/2/2011",2,0,3,1,"cloudy",10.66,77.5417,17.708636,1526
"2/3/2011",2,0,4,1,"clear",7.665237,43.7826,18.609384,1550
"2/4/2011",2,0,5,1,"cloudy",8.663464,58.5217,8.565213,1708
"2/5/2011",2,0,6,0,"cloudy",9.566653,92.9167,10.792293,1005
"2/6/2011",2,0,0,0,"clear",11.719153,56.8333,9.5006,1623
"2/7/2011",2,0,1,1,"clear",11.138347,73.8333,3.0423561,1712
"2/8/2011",2,0,2,1,"clear",9.054153,53.7917,24.25065,1530
"2/9/2011",2,0,3,1,"cloudy",5.526103,49.4783,12.652213,1605
"2/10/2011",2,0,4,1,"clear",5.918268,43.7391,14.869645,1538
"2/11/2011",2,0,5,1,"clear",7.752731,50.6364,7.27285,1746
"2/12/2011",2,0,6,0,"clear",9.1225,54.4167,13.625589,1472
"2/13/2011",2,0,0,0,"clear",12.977402,45.7391,17.479161,1589
"2/14/2011",2,0,1,1,"clear",17.015,37.5833,27.999836,1913
"2/15/2011",2,0,2,1,"clear",10.909567,31.4348,19.522058,1815
"2/16/2011",2,0,3,1,"clear",13.048701,42.3478,16.869997,2115
"2/17/2011",2,0,4,1,"clear",17.869153,50.5,15.416968,2475
"2/18/2011",2,0,5,1,"clear",21.388347,51.6667,17.749975,2927
"2/19/2011",2,0,6,0,"clear",16.365847,18.7917,34.000021,1635
"2/20/2011",2,0,0,0,"clear",11.693897,40.7826,14.956745,1812
"2/21/2011",2,1,1,0,"cloudy",12.436653,60.5,20.625682,1107
"2/22/2011",2,0,2,1,"clear",7.471102,57.7778,13.110761,1450
"2/23/2011",2,0,3,1,"clear",9.091299,42.3043,6.305571,1917
"2/24/2011",2,0,4,1,"cloudy",12.121732,69.7391,16.783232,1807
"2/25/2011",2,0,5,1,"cloudy",14.938268,71.2174,23.218113,1461
"2/26/2011",2,0,6,0,"clear",11.5825,53.7917,12.500257,1969
"2/27/2011",2,0,0,0,"clear",14.082598,68,8.391616,2402
"2/28/2011",2,0,1,1,"cloudy",16.698193,87.6364,19.408962,1446
"3/1/2011",3,0,2,1,"clear",10.933347,53.5,14.500475,1851
"3/2/2011",3,0,3,1,"clear",13.735,44.9583,20.624811,2134
"3/3/2011",3,0,4,1,"clear",8.131653,31.8333,15.125518,1685
"3/4/2011",3,0,5,1,"cloudy",10.728347,61.0417,13.624182,1944
"3/5/2011",3,0,6,0,"cloudy",15.750847,78.9167,16.875357,2077
"3/6/2011",3,0,0,0,"cloudy",15.437402,94.8261,23.000229,605
"3/7/2011",3,0,1,1,"clear",10.731299,55.1304,22.870584,1872
"3/8/2011",3,0,2,1,"clear",11.9925,42.0833,8.08355,2133
"3/9/2011",3,0,3,1,"cloudy",12.129153,77.5417,14.75005,1891
"3/10/2011",3,0,4,1,"wet",15.952731,0,17.545759,623
"3/11/2011",3,0,5,1,"cloudy",12.977402,64.9565,15.60899,1977
"3/12/2011",3,0,6,0,"clear",13.495847,59.4583,14.791925,2132
"3/13/2011",3,0,0,0,"clear",15.758268,52.7391,18.130468,2417
"3/14/2011",3,0,1,1,"clear",13.333897,49.6957,9.174042,2046
"3/15/2011",3,0,2,1,"cloudy",13.013031,65.5652,12.348703,2056
"3/16/2011",3,0,3,1,"cloudy",14.973897,77.6522,13.608839,2192
"3/17/2011",3,0,4,1,"clear",17.015,60.2917,14.041793,2744
"3/18/2011",3,0,5,1,"clear",22.14,52.5217,15.478139,3239
"3/19/2011",3,0,6,0,"clear",19.3725,37.9167,24.667189,3117
"3/20/2011",3,0,0,0,"clear",13.6325,47.375,13.917307,2471
"3/21/2011",3,0,1,1,"cloudy",17.647835,73.7391,19.348461,2077
"3/22/2011",3,0,2,1,"clear",18.108347,62.4583,15.12525,2703
"3/23/2011",3,0,3,1,"cloudy",14.225237,83.9565,15.695487,2121
"3/24/2011",3,0,4,1,"cloudy",11.685,80.5833,16.333729,1865
"3/25/2011",3,0,5,1,"clear",10.830847,49.5,15.458575,2210
"3/26/2011",3,0,6,0,"clear",10.899153,39.4167,14.041257,2496
"3/27/2011",3,0,0,0,"cloudy",10.374763,49.3913,12.3481,1693
"3/28/2011",3,0,1,1,"clear",10.838268,30.2174,14.217668,2028
"3/29/2011",3,0,2,1,"clear",12.4025,31.4167,15.208732,2425
"3/30/2011",3,0,3,1,"cloudy",12.3,64.6667,11.583496,1536
"3/31/2011",3,0,4,1,"wet",11.001653,91.8333,14.582282,1685
"4/1/2011",4,0,5,1,"cloudy",12.3,68.625,17.333436,2227
"4/2/2011",4,0,6,0,"cloudy",12.915,65.375,13.208782,2252
"4/3/2011",4,0,0,0,"clear",15.511653,48,12.208271,3249
"4/4/2011",4,0,1,1,"clear",23.506653,42.625,25.833257,3115
"4/5/2011",4,0,2,1,"cloudy",16.980847,64.2083,26.000489,1795
"4/6/2011",4,0,3,1,"clear",16.024153,47.0833,17.625221,2808
"4/7/2011",4,0,4,1,"clear",17.9375,60.2917,10.874904,3141
"4/8/2011",4,0,5,1,"cloudy",13.769153,83.625,15.208464,1471
"4/9/2011",4,0,6,0,"cloudy",14.0425,87.75,8.916561,2455
"4/10/2011",4,0,0,0,"cloudy",17.493347,85.75,9.833389,2895
"4/11/2011",4,0,1,1,"cloudy",24.421732,71.6956,21.739758,3348
"4/12/2011",4,0,2,1,"cloudy",20.6025,73.9167,18.416893,2034
"4/13/2011",4,0,3,1,"cloudy",16.9125,81.9167,16.791339,2162
"4/14/2011",4,0,4,1,"clear",19.1675,54.0417,7.4169,3267
"4/15/2011",4,1,5,0,"clear",18.313347,67.125,15.167125,3126
"4/16/2011",4,0,6,0,"wet",17.664153,88.8333,22.834136,795
"4/17/2011",4,0,0,0,"clear",18.723347,47.9583,20.334232,3744
"4/18/2011",4,0,1,1,"clear",21.0125,54.25,10.958989,3429
"4/19/2011",4,0,2,1,"cloudy",20.739153,66.5833,10.584057,3204
"4/20/2011",4,0,3,1,"clear",24.395,61.4167,16.208975,3944
"4/21/2011",4,0,4,1,"clear",18.825847,40.7083,21.792286,4189
"4/22/2011",4,0,5,1,"cloudy",13.803347,72.9583,14.707907,1683
"4/23/2011",4,0,6,0,"cloudy",18.86,88.7917,15.458575,4036
"4/24/2011",4,0,0,0,"cloudy",23.848347,81.0833,12.875725,4191
"4/25/2011",4,0,1,1,"clear",24.873347,77.6667,12.417311,4073
"4/26/2011",4,0,2,1,"clear",25.898347,72.9167,21.8755,4400
"4/27/2011",4,0,3,1,"cloudy",25.42,83.5417,20.9174,3872
"4/28/2011",4,0,4,1,"cloudy",25.3175,70.0833,21.500836,4058
"4/29/2011",4,0,5,1,"clear",20.91,45.7083,16.084221,4595
"4/30/2011",4,0,6,0,"clear",19.3725,50.3333,15.750025,5312
"5/1/2011",5,0,0,0,"cloudy",18.518347,76.2083,7.125718,3351
"5/2/2011",5,0,1,1,"cloudy",22.515847,73,12.291418,4401
"5/3/2011",5,0,2,1,"cloudy",25.283347,69.7083,22.958689,4451
"5/4/2011",5,0,3,1,"cloudy",16.980847,73.7083,22.042732,2633
"5/5/2011",5,0,4,1,"clear",18.825847,44.4167,19.791264,4433
"5/6/2011",5,0,5,1,"clear",19.645847,59,15.292482,4608
"5/7/2011",5,0,6,0,"clear",21.32,54.125,10.75015,4714
"5/8/2011",5,0,0,0,"clear",21.661653,63.1667,5.0007125,4333
"5/9/2011",5,0,1,1,"clear",21.8325,58.875,11.792,4362
"5/10/2011",5,0,2,1,"clear",21.8325,48.9167,7.749957,4803
"5/11/2011",5,0,3,1,"clear",22.2425,63.2917,8.083014,4182
"5/12/2011",5,0,4,1,"clear",21.935,74.75,12.707689,4864
"5/13/2011",5,0,5,1,"cloudy",21.0125,86.3333,12.041575,4105
"5/14/2011",5,0,6,0,"cloudy",21.354153,92.25,9.04165,3409
"5/15/2011",5,0,0,0,"cloudy",23.0625,86.7083,10.249593,4553
"5/16/2011",5,0,1,1,"clear",23.6775,78.7917,8.500357,3958
"5/17/2011",5,0,2,1,"cloudy",23.028347,83.7917,18.582718,4123
"5/18/2011",5,0,3,1,"cloudy",22.55,87,13.499964,3855
"5/19/2011",5,0,4,1,"cloudy",21.764153,82.9583,7.250271,4575
"5/20/2011",5,0,5,1,"clear",22.003347,71.9583,8.375871,4917
"5/21/2011",5,0,6,0,"clear",24.7025,62.6667,8.08355,5805
"5/22/2011",5,0,0,0,"clear",24.770847,74.9583,9.916536,4660
"5/23/2011",5,0,1,1,"cloudy",25.898347,81,15.667414,4274
